code;new_category (pnns_groups_2)
6,40865E+12;Yogurt
6,40865E+12;Yogurt
6,40865E+12;Yogurt
6,40865E+12;Yogurt
6,4112E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,41671E+12;Yogurt
6,41671E+12;Yogurt
7,35E+12;Yogurt
8,00567E+12;Yogurt
4,05649E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40865E+12;Yogurt
6,40865E+12;Yogurt
6,4112E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,41778E+12;Yogurt
7,35E+12;Yogurt
6,43314E+11;Yogurt
6,40276E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,44643E+12;Yogurt
6,41918E+12;Yogurt
6,43299E+11;Yogurt
6,40843E+12;Yogurt
6,40865E+12;Yogurt
6,4133E+12;Yogurt
20041755;Yogurt
20886820;Yogurt
20886967;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40865E+12;Yogurt
6,40865E+12;Yogurt
6,40865E+12;Yogurt
6,4112E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,41778E+12;Yogurt
6,43001E+12;Yogurt
20011307;Yogurt
20788421;Yogurt
4,74004E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,4133E+12;Yogurt
6,40865E+12;Yogurt
20788438;Yogurt
6,40843E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
9,78509E+12;Yogurt
20886950;Yogurt
6,41489E+12;Yogurt
7,34019E+12;Yogurt
6,40843E+12;Yogurt
6,40865E+12;Yogurt
6,4133E+12;Yogurt
6,4133E+12;Yogurt
6,47781E+12;Yogurt
20047559;Yogurt
7,39267E+12;Yogurt
6,8057E+11;Yogurt
5,41119E+12;Yogurt
6,40843E+12;Yogurt
6,4112E+12;Yogurt
6,4112E+12;Yogurt
4,74004E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
5,20105E+12;Yogurt
5,20105E+12;Yogurt
6,41489E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,41041E+12;Yogurt
6,4133E+12;Yogurt
4,05649E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,40843E+12;Yogurt
6,41041E+12;Yogurt
7,34001E+12;Yogurt
4,05649E+12;Yogurt
4,77021E+12;Yogurt
6,4072E+12;Yogurt
6,40843E+12;Yogurt
6,41041E+12;Yogurt
6,41041E+12;Yogurt
6,41041E+12;Yogurt
20043032;Chocolate products
6,41671E+12;Grains
6,41038E+12;Appetizers
6,41041E+12;Cheese
6,43001E+12;Appetizers
6,41038E+12;Appetizers
6,40953E+12;Canned foods
6,40946E+12;One-dish meals
6,41041E+12;Canned foods
6,42983E+12;One-dish meals
8,69066E+12;Dressings and sauces
6,4053E+12;One-dish meals
6,43006E+12;Dressings and sauces
5,76523E+12;Dressings and sauces
7,39438E+12;Plant-based milk substitutes
5,28912E+12;Dressings and sauces
20011161;Pastries
6,43002E+12;Plant-based milk substitutes
B7350068600241;Breakfast cereals
6,43007E+12;One-dish meals
6,43004E+12;One-dish meals
6,43004E+12;One-dish meals
6,43006E+12;One-dish meals
6,43006E+12;One-dish meals
6,40953E+12;Canned foods
6,41102E+12;Teas and herbal teas and coffee
6,41345E+12;Teas and herbal teas and coffee
6,41041E+12;Fruit juices
40878737;Teas and herbal teas and coffee
