code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
6420256015568,"Tupla Kingsize","85 g","Plastic,Cardboard,Non-corrugated cardboard,Pp-polypropylene","Cloetta","Seafood,Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Bars,Chocolate candies,Bars-covered-with-chocolate","","Sustainable farming,UTZ Certified,UTZ Certified Cocoa","Finland,Sweden","e","Sugary snacks","Biscuits and cakes","Sugary snacks,Biscuits and cakes",,"unknown","Bars-covered-with-chocolate","",""
6420900002029,"Laktritsi Pastilli","34 g","Paper","halva","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons","","sv:lakrits,sv:pastiller","Finland,Sweden","e","Sugary snacks","Sweets","Sugary snacks,Sweets",,"unknown","Bonbons","",""
6430015536623,"Aito Kauravälipala maustamaton","1l","Tetra Pak,Tetra Rex","Fazer","Desserts","","No gluten,Vegetarian,Vegan,FSC,FSC Mix,No lactose","Finland,France","b","unknown","unknown","",,"unknown","Desserts","",""
6430043013219,"","250 g","Plastic,Cardboard","Harkis","Meats and their products,Meals,Meals with meat,Beef dishes,Microwave meals","","","Finland,France","a","Composite foods","One-dish meals","Composite foods,One-dish meals",,"unknown","Microwave meals","",""
6430043013318,"Härkis pihvi original","250 g","fi:pahvi-muovi","Harkis,Verso","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Vegetables based foods,Specific products,Products for specific diets,Products without gluten","","No gluten,Source of proteins,High proteins,No soy","Finland,France","a","Fruits and vegetables","Vegetables","Fruits and vegetables,Vegetables",,"unknown","Products without gluten","",""
6430064404836,"HELLIVÄ KAURAVANILJA","1 L","Cardboard,Paperboard","Pingviini","Plant-based foods and beverages,Dairy substitutes,Desserts,Frozen foods,Frozen desserts,Ice creams and sorbets,Plant-based ice creams","","","Finland,France","d","Milk and dairy products","Ice cream","Milk and dairy products,Ice cream",,"unknown","Plant-based ice creams","",""
6430104967932,"Kasvisjauhisnuggetit","200g","fi:07-0","Apetit","Plant-based foods and beverages,Plant-based foods,Meat alternatives,Meat analogues,Breaded products,Vegetarian nuggets","","Vegetarian,Source of fibre,Source of proteins,Vegan,High fibres,High proteins,No lactose,fi:valmistettu-suomessa","Finland,France","a","unknown","unknown","",,"unknown","Vegetarian nuggets","",""
6437005064906,"Ooh kaneli ystävänpuusti","220 g","Plastic,Pp-polypropylene","Vaasan","Plant-based foods and beverages,Plant-based foods,fi:jyvat-ja-perunat,fi:leivat,fi:sampylat","","No lactose","Finland,France","d","unknown","unknown","",,"unknown","fi:sampylat","",""
7040110663200,"Japp","60 g","Plastic,Pp-polypropylene,sv:green-dot","Marabou,Mondelez","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Bars,Chocolate candies,Bars-covered-with-chocolate,Caramel chocolate bars","","Cocoa Life,Green Dot","Denmark,Finland,France,Sweden","e","Sugary snacks","Biscuits and cakes","Sugary snacks,Biscuits and cakes",,"unknown","Caramel chocolate bars","",""
7300400118408,"Husman Fullkornsknekkebrød","520 g","Paper","barilla-norge","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Crispbreads,Crispbreads(wholemeal),nb:knekkebrød","","Keyhole","Denmark,Finland,France,Norway,Sweden","b","Cereals and potatoes","Bread","Cereals and potatoes,Bread",,"unknown","nb:knekkebrød","",""
7310100605412,"Gluten-Free Linguine Pasta","300 g","Plastic,Pp-polypropylene","arvid-nordquist","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products,Specific products,Pastas,Products for specific diets,Products without gluten,Gluten-free pasta,Linguine","","No gluten,Organic,EU Organic,IT-BIO-009","Denmark,Finland,Ireland,Netherlands,Norway,Sweden,United Kingdom","b","Cereals and potatoes","Cereals","Cereals and potatoes,Cereals",,"unknown","Linguine","",""
7310511442606,"Kolasås","350g","Plastic,Tube","o-hoy,unilever","Condiments,Sauces,Dessert sauces,Groceries","","","Finland,Sweden","e","Fat and sauces","Dressings and sauces","Fats and sauces,Dressings and sauces",,"unknown","Groceries","",""
7310861015253,"Smooth Vanilla","250 ml","Plastic,Multilayer-composite,Tetra Pak,Cardboard,Paperboard,Tetra Brik Aseptic","gainomax","Beverages,Dairies,Dairy drinks,Flavoured milks","","Source of proteins,High in calcium,High proteins,No added sugar","Finland,France","c","Beverages","Artificially sweetened beverages","Beverages,Artificially sweetened beverages",,"unknown","Flavoured milks","",""
7311070347272,"Kanel Gifflar","280 g","nb:muovi","Pagen","Snacks,Sweet snacks,Biscuits and cakes,Cakes,Pastries","","Sustainable,Sustainable Palm Oil,Roundtable on Sustainable Palm Oil","Denmark,Finland,Norway","d","Sugary snacks","Biscuits and cakes","Sugary snacks,Biscuits and cakes",,"unknown","Pastries","",""
7311310035280,"Fish Sauce","200ml","Product","Santa-maria-norge-as,Santa-maria","","","No gluten","Finland,Sweden","unknown","unknown","unknown","",,"unknown","","",""
7311310035341,"Teriyaki Sauce","300ml","Glass,Clear Glass","Santa-maria","Condiments,Sauces,Teriyaki sauces,Groceries","","","Finland,Germany,Lithuania,Norway","e","Fat and sauces","Dressings and sauces","Fats and sauces,Dressings and sauces",,"unknown","Groceries","",""
73143611,"Propud protein pudding","","Plastic,Metal,Pp-polypropylene,Recyclable Metals,Aluminium,sv:green-dot","cuveco-as","Dairies,Desserts,Dairy desserts,Puddings,Chocolate desserts,Dairy chocolate desserts","","No gluten,No added sugar,No lactose","Finland,Sweden","a","Milk and dairy products","Dairy desserts","Milk and dairy products,Dairy desserts",,"unknown","Dairy chocolate desserts","",""
73143628,"Propud Vanilla","200 g","Plastic","njie-group-norge","Dairies,Desserts,Dairy desserts,Creamy puddings,Refrigerated creamy puddings,Vanilla creamy puddings","","No gluten","Finland,Sweden","unknown","Milk and dairy products","Dairy desserts","Milk and dairy products,Dairy desserts",,"unknown","Vanilla creamy puddings","",""
7317330098816,"Delikatessbollar Cocos","200 g","Plastic","smarry","Snacks,Sweet snacks,Confectioneries","","","Finland,Sweden","e","Sugary snacks","Sweets","Sugary snacks,Sweets",,"unknown","Confectioneries","",""
7340131601299,"NOCCO Focus Melon Crush","330 ml","Can","Nocco","Beverages,Sweetened beverages","","","Denmark,Finland,Sweden","unknown","Beverages","Sweetened beverages","Beverages,Sweetened beverages",,"unknown","Sweetened beverages","",""
7340150801007,"Kasviperäinen barista herneestä","1l","fr:produkt","sproud","Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Dairy substitutes,Milk substitutes,Plant-based beverages,Plant-based milk alternatives","","Low or no sugar,Low sugar,No gluten,Vegetarian,Vegan,FSC,FSC Mix","Belgium,Finland,Germany,Switzerland","b","Beverages","Plant-based milk substitutes","Beverages,Plant-based milk substitutes",,"unknown","Plant-based milk alternatives","",""
7350068291098,"protein pudding","200 g","Plastic,Metal,Pp-polypropylene,Recyclable Metals,Aluminium","njie,propud","Desserts,Puddings","","Green Dot,No added sugar,No lactose","Finland,Sweden","a","Milk and dairy products","Dairy desserts","Milk and dairy products,Dairy desserts",,"unknown","Puddings","",""
7350068291111,"ProPud protein pudding chocolate","500 g","Metal,Plastic,Recyclable Metals,Aluminium,Pp-polypropylene","njie,njie-group,njie-propud","Dairies,Desserts,Dairy desserts,Puddings,Chocolate desserts,Dairy chocolate desserts","","No added sugar,No lactose","Finland,Sweden","a","Milk and dairy products","Dairy desserts","Milk and dairy products,Dairy desserts",,"unknown","Dairy chocolate desserts","",""
7350068293863,"","","Tetra Pak,Tetra Brik Aseptic","Njie","Beverages","","Contains a source of phenylalanine,FSC,FSC Mix","Finland,Sweden","c","Beverages","Artificially sweetened beverages","Beverages,Artificially sweetened beverages",,"unknown","Beverages","",""
7350068294082,"Cookie dough protein bar","55g","Plastic","propud","Snacks,Dietary supplements,Bodybuilding supplements,Protein bars","","No added sugar","Finland,Sweden","not-applicable","unknown","unknown","",,"unknown","Protein bars","",""
7350068295522,"ProPud Protein Bar Salty Caramello Cookiee","55 g","Plastic","propud","Snacks,Sweet snacks,Bars,Dietary supplements,Bodybuilding supplements,Protein bars","","No added sugar","Finland,Sweden","not-applicable","Sugary snacks","Biscuits and cakes","Sugary snacks,Biscuits and cakes",,"unknown","Protein bars","",""
7350101604526,"Licorice love","80","Plastic","tweek","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons,sv:lakrits","","No artificial colors","Finland,Sweden","a","Sugary snacks","Sweets","Sugary snacks,Sweets",,"unknown","sv:lakrits","",""
7350101604540,"Toffee caramel","65 g","Plastic","tweek","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons","","No artificial colors","Finland,Sweden","d","Sugary snacks","Sweets","Sugary snacks,Sweets",,"unknown","Bonbons","",""
7350113020048,"All Glow‘d Up Vegan Sugar Scrub","200g","Plastic","estrid","Body,Body-scrubs","","Vegetarian,Vegan,Cruelty-free,Not-tested-on-animals","Finland,Germany,Netherlands,Sweden,United States","unknown","unknown","unknown","",,"unknown","Body-scrubs","",""
7622210804761,"Oreo Eggs","4 x 32 g","Cardboard,Paperboard","Marabou,Mondelez","Snacks,Sweet snacks,Cocoa and its products,Festive foods,Chocolates,Easter food,Chocolate eggs,Easter eggs","","","Denmark,Finland","e","Sugary snacks","Chocolate products","Sugary snacks,Chocolate products",,"unknown","Easter eggs","",""
7622300348342,"Twist","145 g","Plastic,Pp-polypropylene","Marabou,Mondelez","Snacks,Sweet snacks,Cocoa and its products,Confectioneries,Chocolate candies,Bonbons","","Green Dot","Denmark,Finland","e","Sugary snacks","Sweets","Sugary snacks,Sweets",,"unknown","Bonbons","",""
7622300818821,"","100 g","Bag,Plastic-film,fr:green-dot","lu,mondelēz,tuc","Snacks,Salty snacks,Appetizers,Biscuits and crackers,Crackers","","Green Dot","Belgium,Denmark,Finland,France,Italy,Netherlands,Portugal,Spain,Sweden","d","Salty snacks","Appetizers","Salty snacks,Appetizers",,"unknown","Crackers","",""
8006040000484,"Karamellpudding","","Plastic,Paper","Jensen-co-as","Plant-based foods and beverages,Dairy substitutes,Desserts,Non-dairy desserts,Puddings","","No gluten","Finland,France","c","Milk and dairy products","Dairy desserts","Milk and dairy products,Dairy desserts",,"unknown","Puddings","",""
8007548005810,"Bomba calabrese","180 g","fi:lasi,fi:metalli","delizie-di-calabria","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Canned foods,Condiments,Vegetables based foods,Canned plant-based foods,Pickles,Canned vegetables,Plant-based pickles,Pickled vegetables,Groceries","","Made in Italy","Finland,Italy","d","Salty snacks","Salty and fatty products","Salty snacks,Salty and fatty products",,"unknown","Groceries","",""
8008698007303,"Crispbread","150 g","Plastic,Pp-polypropylene,Box,Cardboard,FSC cardboard,Non-corrugated cardboard","Schar","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Specific products,Products for specific diets,Breads,Products without gluten,Crispbreads","","Low or no fat,Low fat,No gluten,Vegetarian,Crossed Grain Trademark,No preservatives,Vegan,FSC,FSC Mix,Green Dot,No eggs,No lactose,No milk,No palm oil,No wheat,Low-fodmap,pt:it-016-086","Belgium,Denmark,Finland,France,Germany,Hungary,Italy,Netherlands,Norway,Portugal,Russia,Slovenia,Spain,Sweden,Switzerland,United Kingdom","d","Cereals and potatoes","Bread","Cereals and potatoes,Bread",,"unknown","Crispbreads","",""
8711200346790,"Vego Chili sin carne","390g","fi:komposiittimateriaalia,fi:pussukka","Knorr","Condiments,Sauces,Meal sauces,Vegetable sauces,Groceries","","Vegetarian,Vegan","Finland,Germany","a","Fat and sauces","Dressings and sauces","Fats and sauces,Dressings and sauces",,"unknown","Groceries","",""
8711327416239,"Pasta Snack Pot - Bolognese","60 g","Plastic,Metal,Paper,Pp-polypropylene,Recyclable Metals,Aluminium","unilever-norge-as","Meals,Dried products,Pasta dishes,Dried products to be rehydrated,Dried meals","","","Finland,Sweden","c","Composite foods","One-dish meals","Composite foods,One-dish meals",,"unknown","Dried meals","",""
