,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
12221,6408430001996,Eila rasvaton piimä,1 L,"Plastic,Multilayer-composite,Tetra Pak,Cardboard,Paperboard,Tetra Rex",Valio,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir",Finland,"No lactose,fi:Hyvää Suomesta,fi:Sydänmerkki",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Kefir,,
12222,6408430011650,Rasvaton maito,1 L,"Plastic,Tetra Pak,Cardboard,Paperboard,Tetra Brik Aseptic",Valio,"Dairies,Milks,Skimmed milks",Finland,"Low lactose - Finland,fi:Hyvää Suomesta,fi:Sydänmerkki",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Skimmed milks,,
12223,6408430021031,Valiojogurtti - Banaani,1 kg,"Cardboard,Paperboard",Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Banana yogurts",Finland,"No preservatives,Calcium source,Vitamin D source,sv:low-lactose,sv:låglaktos",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Banana yogurts,,
12224,6408430024186,Bulgarian jogurtti,400 g,"Plastic,Cardboard,Paperboard,fi:alumiini",Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",Finland,fi:Hyvää Suomesta,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12225,6408430024841,Kreikkalainen jogurtti,150 g,"Metal,Plastic,fi:alumiini",Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts,Flavoured fermented dairy desserts,Flavoured yogurts,Greek-style yogurts",Finland,No lactose,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Greek-style yogurts,,
12230,6408430141234,Turkkilainen jogurtti 6%,400 g,"Plastic,Metal,Recyclable Metals,Aluminium,Cardboard,Paperboard,Ps-polystyrene",Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",Finland,"No lactose,fi:Hyvää Suomesta",Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12238,6408653124960,Kirnupiimä,"0,75 l","Elopak,Multilayer-composite,Pure-Pak,Cardboard,Paperboard",Juustoportti,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Kefir",Finland,fi:Hyvää Suomesta,Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,Kefir,,
12239,6408653125622,Ulkoilevan vapaan lehmän kevytmaito,1l,"Cardboard,Paperboard,Elopak",Juustoportti,"Dairies,Milks,Semi-skimmed milks,Fresh milks",Finland,"Free range,No GMOs,Carbon compensated product,fi:welfare-quality",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Fresh milks,,
12240,6408653125875,Ulkoilevan vapaan lehmän ab-piimä,1 L,"Elopak,Multilayer-composite,Pure-Pak,fi:pahvi",Juustoportti,"Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Buttermilks,Kefir,fi:hapanmaitotuotteet",Finland,"No lactose,fi:hyvinvointi-valvottu-edistynyt-taso,fi:wellfare-quality",Finland,b,Milk and dairy products,Milk and yogurt,"Beverages,Unsweetened beverages",,,fi:hapanmaitotuotteet,,
12242,6408653126186,Vapaan lehmän laktoositon maitojuoma 3%,1 L,Container,Juustoportti,"Dairies,Milks,Lactose-free milk",Finland,"No GMOs,Carbon compensated product,No lactose,fi:Hyvää Suomesta,fi:10-vähemmän-puuta,fi:suomalainen-perheyritys",Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Lactose-free milk,,
