,code,product_name,quantity,packaging_en,brands_en,categories_en,origins_en,labels_en,countries_en,nutriscore_grade,pnns_groups_1,pnns_groups_2,food_groups_en,environmental_score_score,environmental_score_grade,main_category_en,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g
12733,6419800121466,Palautusjuoma valkosuklaa-vanilja,"0,33 l","Multilayer-composite,Tetra Pak,Paper and cardboard / Plastic / Aluminium,Tetra Prisma Aseptic,84 C/PAP","Teho-sport,Olvi,Maitomaa","Beverages,Dairies,Dairy drinks,Dietary supplements,Bodybuilding supplements,Protein shakes",,"Source of proteins,Avainlippu,High proteins",Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Protein shakes,,
12874,7340011497585,Juotava päärynäjogurtti,500 g,"Plastic,Pet-polyethylene-terephthalate,HDPE 2 - High-density polyethylene",Rainbow,"Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Yogurts,Fermented milk drinks,Drinkable-yogurts",,"Low or no fat,Low fat",Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Drinkable-yogurts,,
12927,4056489253099,mansikka-jogurtti,1kg,Cardboard,Lidl,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Strawberry yogurts",,,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Strawberry yogurts,,
12936,4770207046663,Juotava jogurtti metsämansikka,330 g,"Tetra Pak,Paper and plastic,Tetra Top",Vilvi,"Beverages,Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Dairy drinks,Fermented dairy desserts,Fermented drinks,Yogurts,Fermented milk drinks,Drinkable-yogurts",,,Finland,e,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Drinkable-yogurts,,
12946,6407204028733,Karviaismarja-Sitruunaruoho-Jogurtti,1 kg,"Cardboard,Paperboard",Alands-mejeriet,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Flavoured fermented dairy desserts,Flavoured yogurts",,,Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Flavoured yogurts,,
12952,6408430021376,Arki Jogurtti Marjamix,1 kg,"Cardboard,Paperboard",Valio,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts",,,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Fruit yogurts,,
12981,6410405093424,Laktoositon vispikerma 36%,,"Tetra Pak,Tetra Brik Aseptic",Pirkka,"Dairies,Creams,Unfermented creams",,,Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Unfermented creams,,
12983,6410405118455,Kreikkalainen jogurtti vadelma- ja mustikkahillolla,150 g,"Plastic,Metal,Pp-polypropylene,Recyclable Metals,Aluminium",Pirkka,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Yogurts",,,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Yogurts,,
12989,6410405153708,Vähälaktoosinen iskukuumennettu täysmaito,1 L,"Tetra Pak,Composite-carton,Tetra Brik Aseptic",Pirkka,"Dairies,Milks,Whole milks",,,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Whole milks,,
12990,6410405156037,Appelsiini jogurtti,1 kg,"Cardboard,Paperboard",K-menu,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts",,,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Fruit yogurts,,
13001,6410405257741,Rasvaton maito,1l,Container,Pirkka,"Dairies,Milks,Skimmed milks",,,Finland,b,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Skimmed milks,,
13021,6414893386204,Rasvaton piimä,1 L,"Elopak,Multilayer-composite,Pure-Pak",Kotimaista,"Beverages and beverages preparations,Beverages,Dairies,Fermented foods,Fermented milk products,Dairy drinks,Fermented drinks,Fermented milk drinks,Buttermilks,Kefir",,,Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Kefir,,
13061,6417781006208,Kuohu kerma laktoositon,,"Tetra Pak,Tetra Rex",Satamaito,"Dairies,Creams,Unfermented creams",,,Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Unfermented creams,,
13062,6417781006406,Kuohu kerma,,"Tetra Pak,Tetra Rex",Satamaito,"Dairies,Creams,Unfermented creams",,,Finland,d,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Unfermented creams,,
13070,6419800121442,Palautusjuoma toffee,"0,33 l","Multilayer-composite,Tetra Pak","Teho-sport,Olvi,Maitomaa","Beverages,Dairies,Dairy drinks,Dietary supplements,Bodybuilding supplements,Protein shakes",,,Finland,unknown,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Protein shakes,,
13166,6410405049834,AB-Jogurtti,400 g,Plastic,Pirkka,"Dairies,Fermented foods,Fermented milk products,Desserts,Dairy desserts,Fermented dairy desserts,Fermented dairy desserts with fruits,Yogurts,Fruit yogurts,Hazelnut yogurts",,,Finland,c,Milk and dairy products,Milk and yogurt,"Milk and dairy products,Milk and yogurt",,,Hazelnut yogurts,,
