,Barcode,Product name,Brand,Quantity,Packaging material,Origin,Label,Sale countries,Product group,Food group,Product main category,Environmental score,Environmental score grade,Carbon footprint 1kg,Sustainable footprint score
4099,6412500003445,Panda Tekee Hyvää suklaa,"Panda,Orkla",200 g,"Plastic,Pp-polypropylene",Origin unknown,"No palm oil,Rainforest Alliance",Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4100,6412500005012,Poro,panda,280g,Cardboard,Origin unknown,"No gluten,PEFC,Pure cocoa butter,Rainforest Alliance",Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4101,6412500005579,Tonttu,panda,290 g,"Plastic,fi:pahvi",Origin unknown,"Sustainable farming,UTZ Certified",Finland,Chocolate products,"Sugary snacks,Chocolate products",fi:makeiset,No information available,No information available,2.95,70.7
4102,6412500028141,Namix Pehmeä & Kirpeä,panda,180g,"Plastic,Pp-polypropylene",Origin unknown,"Made in Spain,New,Packaged-in-finland",Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4103,6412500048705,Lakupala,panda,800g,"Plastic,Pp-polypropylene",Origin unknown,Made-in-finland,Finland,Sweets,"Sugary snacks,Sweets",Liquorice candies,No information available,No information available,2.95,70.7
4104,6412500048774,Lakumix Joulu,panda,800g,"Plastic,Pp-polypropylene",Origin unknown,Made-in-finland,Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4105,6412500075206,Lakupala,"Panda,Orkla",250g,"Plastic,Other-plastics,fi:07-pet-pe",Origin unknown,"EAC,fi:made-in-finland,fi:pyr",Finland,Sweets,"Sugary snacks,Sweets",Liquorice candies,No information available,No information available,2.95,70.7
4106,6412500075503,Lakumix Original,panda,250 g,fi:07-pet-pe,Origin unknown,"Made-in-finland,fi:pyr",Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4107,6412500075626,Suklaa Lakumix,panda,250 g,fi:07-pet-pe,Origin unknown,"EAC,Made-in-finland,fi:pyr",Finland,Sweets,"Sugary snacks,Sweets",Liquorice candies,No information available,No information available,2.95,70.7
4108,6412500077408,Natural lakritsi,panda,140g,"Plastic,Pp-polypropylene",Origin unknown,"Vegetarian,No preservatives,Vegan,EAC,Natural colorings,Natural flavors,No additives,Made-in-finland,fi:pyr",Finland,Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
4109,6413300024418,Vispikermaa Suomesta,Arla,2 dL,Elopak,Origin unknown,No lactose,Finland,Milk and yogurt,"Milk and dairy products,Milk and yogurt",Creams,No information available,No information available,1.05,89.8
4110,6413446014212,Luonnon tee wehreä,nordqvist,80g,"Plastic,Other-plastics",Origin unknown,"Organic,EU Organic,Non-EU Agriculture,EAC,FI-EKO-201,fi:suomen-luonnonsuojeluliitto",Finland,Teas and herbal teas and coffee,"Beverages,Unsweetened beverages",Green teas,No information available,No information available,0.55,94.8
4111,6413466033903,Rukiinen Piirakka,Fazer-leipomot,10 kpl,fi:muovipussi,Origin unknown,No lactose,Finland,Pizza pies and quiches,"Composite foods,Pizza pies and quiches",Pies,No information available,No information available,2.95,70.7
4112,6413466114206,Leipurimestarin Kaura-pellavaleipä,Fazer,500 g,"Cardboard,Paperboard",Origin unknown,"No additives,No lactose,No milk",Finland,Bread,"Cereals and potatoes,Bread",White breads,No information available,No information available,2.5,75.2
4113,6413466124007,Puikula pehmeämpi jälkiuuni,Fazer,370g (6),"Plastic,Pp-polypropylene",Origin unknown,"Source of fibre,High fibres,No additives,No lactose,No milk,fi:Hyvää Suomesta",Finland,Bread,"Cereals and potatoes,Bread",Rye breads,No information available,No information available,2.5,75.2
4114,6413467278402,Juuresleipä Palsternakka & Porkkana,Fazer,4 kpl,fi:muovipussi,Origin unknown,"Source of fibre,High fibres,No added sugar,No additives,No lactose",Finland,Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
4115,6413467449307,Flatbread Street Food,Fazer,240 g,fi:muovipussi,Origin unknown,No milk,Finland,Bread,"Cereals and potatoes,Bread",Flatbreads,No information available,No information available,2.5,75.2
4116,6413467471902,Porkkana - Punajuuri -Kauraleipä,"Fazer-leipurir,Fazer",410 g,sv:pussi,Origin unknown,"No additives,No lactose,No milk",Finland,Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
4117,6413467524103,Tippaleipä 2 kpl,Fazer,90 g,Paper and plastic,Origin unknown,Avainlippu,Finland,Pastries,"Sugary snacks,Biscuits and cakes",fi:tippaleipä,No information available,No information available,2.5,75.2
4118,6413600015147,Pepsi Max,Pepsi,"1,5L","Plastic,Pet-polyethylene-terephthalate,fi:pantti",Origin unknown,"Contains a source of phenylalanine,With sweeteners,fi:pantti",Finland,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Diet cola soft drink,No information available,No information available,0.55,94.8
4119,6413600015338,7UP Zero Sugar,7up,"1,5L","Plastic,Pet-polyethylene-terephthalate,fi:pantti",Origin unknown,"Contains a source of phenylalanine,With sweeteners",Finland,Artificially sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,No information available,0.55,94.8
4120,6413600016212,Jaffa,Hartwall,"1,5L","Plastic,Pet-polyethylene-terephthalate,Bottle,fi:pantti",Origin unknown,"Avainlippu,fi:pantti",Finland,Sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,No information available,0.55,94.8
4121,6413600156840,7up free,"7up,Hartwall",500ml,"Plastic,Pet-polyethylene-terephthalate,fi:pantti",Origin unknown,"Contains a source of phenylalanine,With sweeteners",Finland,Artificially sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,No information available,0.55,94.8
4122,6413600156871,Jaffa Lime-Verigreippi Sokeriton,Hartwall,"1,5 L","Plastic,Pet-polyethylene-terephthalate",Origin unknown,Avainlippu,Finland,Artificially sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,No information available,0.55,94.8
4123,6413600195719,Pepsi Max lime,Pepsi,330 ml,"Metal,Recyclable Metals,Aluminium",Origin unknown,"Low or no sugar,No sugar",Finland,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Diet cola soft drink,No information available,No information available,0.55,94.8
4124,6413600206910,Hartwall Jaffa Kirsikka Sokeriton,Hartwall,1.5 l,"Plastic,Pet-polyethylene-terephthalate",Origin unknown,"Low or no sugar,Avainlippu,No sugar",Finland,Artificially sweetened beverages,"Beverages,Sweetened beverages",Sodas,No information available,No information available,0.55,94.8
4125,6413600230489,Jaffa Vesimeloni-Granaattiomena,Hartwall,1.5 l,"Plastic,Pet-polyethylene-terephthalate",Origin unknown,"Low or no sugar,Avainlippu,No sugar",Finland,Artificially sweetened beverages,"Beverages,Sweetened beverages",Sodas,No information available,No information available,0.55,94.8
4126,6413626124007,Puikula pehmeämpi jälkiuuni,Fazer,6 kpl,fi:muovipussi,Origin unknown,"fi:Hyvää Suomesta,fi:100-kotimaista-viljaa",Finland,Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
4127,6414000001754,Sirkku palasokeri,Dan-sukker,750 g,Container,Origin unknown,fi:valmistettu-suomessa,Finland,Sugar and Honey,"Sugary snacks,Sweets",Sugars,No information available,No information available,2.95,70.7
4128,6414000020021,Siro erikoishieno sokeri,Unil-as,1000 g,"Cardboard,Paperboard",Origin unknown,No gluten,Finland,Sugar and Honey,"Sugary snacks,Sweets",Sugars,No information available,No information available,2.95,70.7
4129,6414203311384,"Manteli, kuorittu",Meira,300 g,"Plastic,Bag",Origin unknown,fi:Sydänmerkki,Finland,Nuts,"Salty snacks,Nuts",Almonds,No information available,No information available,2.9,71.2
4130,6414890113711,Parsakaali,Agricultural-marketing-company-limited,300 g,Plastic,Origin unknown,"Organic,EU Agriculture,Luomu - controlled organic production",Finland,Vegetables,"Fruits and vegetables,Vegetables",Fresh broccoli,No information available,No information available,1.55,84.8
4131,6414891050107,Pinaattikeitto,S-kotimaista,400 g,Kartonki,Origin unknown,fi:Hyvää Suomesta,Finland,Soups,"Fruits and vegetables,Soups",Vegetable soups,No information available,No information available,2.95,70.7
4132,6414893397019,Kaura Havre,Rainbow,1 I,Container,Origin unknown,"Vegetarian,Vegan,No lactose",Finland,Plant-based milk substitutes,"Beverages,Plant-based milk substitutes",Oat-based drinks,No information available,No information available,0.9,91.3
4133,6414893505513,MEHUSTAMO,S-ryhma,"0,95l","Plastic,Recyclable material,Recyclable plastic",Origin unknown,"Vegetarian,Vegan",Finland,Fruit juices,"Beverages,Unsweetened beverages",Fresh oranges,No information available,No information available,1.0,90.3
4134,6415002585952,Luomu Kuituinen Kaurahiutale,Myllarin,650 g,"Cardboard,Paperboard",Origin unknown,"Organic,EU Organic,fi:Hyvää Suomesta,fi:Sydänmerkki,fi:hiilineutraali-tuotanto,fi:suomalainen-perheyritys,fi:suomen-maataloudesta",Finland,Breakfast cereals,"Cereals and potatoes,Breakfast cereals",Rolled oats,No information available,No information available,2.65,73.7
4135,6415130036753,Vital Hedelmänektari + 10 vitamiinia,Marli,"2,5 dl","Plastic,Container",Origin unknown,"No preservatives,Enriched with vitamins,Enriched-wih-vitamins",Finland,Sweetened beverages,"Beverages,Sweetened beverages",Multifruit nectars,No information available,No information available,0.55,94.8
4136,6415130041740,rypäle-omena täysmehu,Marli,1l,"Cardboard,Paperboard",Origin unknown,"FSC,FSC Mix,No additives,Pure juice",Finland,Fruit juices,"Beverages,Unsweetened beverages",fi:täysmehu,No information available,No information available,0.95,90.8
4137,6415131404322,Mehukatti,Mehukatti,"1,5 L",Plastic,Origin unknown,Avainlippu,Finland,Sweetened beverages,"Beverages,Sweetened beverages",Beverages,No information available,No information available,0.55,94.8
4138,6415600501781,Coca-cola,Coca-cola,500ml,fi:pantti,Origin unknown,fi:pantti,Finland,Sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,No information available,0.55,94.8
4139,6415600502054,Coca-cola Zero Sugar,Coca-cola,500ml,fi:pantti,Origin unknown,"Contains a source of phenylalanine,With sweeteners,fi:pantti",Finland,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Diet cola soft drink,No information available,No information available,0.55,94.8
4140,6415600545969,Sprite sokeriton,Sprite,"1,5 L","Plastic,PET 1 - Polyethylene terephthalate,fi:pantti,fi:pullo",Origin unknown,"Low or no sugar,Contains a source of phenylalanine,No sugar",Finland,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Lemon soft drinks,No information available,No information available,0.55,94.8
4141,6415600546126,Bon Aqua Villivadelma,Coca-cola,0.5 l,Plastic,Origin unknown,"100-recycled-plastic,Calory-free",Finland,Waters and flavored waters,"Beverages,Unsweetened beverages",Carbonated waters,No information available,No information available,0.0315,100.0
4142,6415600563635,Coca-Cola Zero Sugar Kofeiiniton,Coca-cola,"1,5 L",Plastic,Origin unknown,"Low or no sugar,No caffeine,No sugar",Finland,Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Diet cola soft drink,No information available,No information available,0.55,94.8
4143,6415600566742,Muumi Metsämansikka Sokeriton,Brand name unknown,"1,5 L","Plastic,Pet-polyethylene-terephthalate",Origin unknown,"Low or no sugar,No sugar",Finland,Artificially sweetened beverages,"Beverages,Sweetened beverages",Fruit sodas,No information available,No information available,0.55,94.8
4144,6415712715595,Kanatacosalaatti,Rainbow,300 g,"Plastic,Other-plastics,Pp-polypropylene",Origin unknown,No lactose,Finland,One-dish meals,"Fruits and vegetables,Vegetables",Lettuces,No information available,No information available,1.55,84.8
4145,6415715930834,Voffeli Original,Rainbow,225 g,"Plastic,Pp-polypropylene",Origin unknown,Rainforest Alliance,Finland,Biscuits and cakes,"Sugary snacks,Chocolate products",Wafers,No information available,No information available,2.95,70.7
4146,6415715930872,Voffeli Double Chocolate,Rainbow,225 g,"Plastic,Pp-polypropylene",Origin unknown,Rainforest Alliance,Finland,Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Wafers,No information available,No information available,2.5,75.2
4147,6415718072043,Rainbow Omenatäysmehu 1L,Brand name unknown,Quantity unknown,"Paper and cardboard / Plastic / Aluminium,SIG",Origin unknown,"FSC,FSC Mix",Finland,Fruit juices,"Beverages,Fruit juices",Apple juices,No information available,No information available,0.95,90.8
4148,6416192012174,Pikkueväs,Porokylan,400 g,fi:muovipussi,Origin unknown,"Source of fibre,High fibres,No lactose",Finland,Bread,"Cereals and potatoes,Bread",Rye breads,No information available,No information available,2.5,75.2
4149,6416192012334,Kartanon Ruis,Porokylan,810 g,Pe-pp,Origin unknown,"Avainlippu,No lactose",Finland,Bread,"Cereals and potatoes,Bread",Rye breads,No information available,No information available,2.5,75.2
4150,6416192121302,Pikku-Sihtileipä,Porokylan,330 g,fi:muovipussi,Origin unknown,"Source of fibre,Avainlippu,High fibres,No lactose,fi:juureen-tehty",Finland,Bread,"Cereals and potatoes,Bread",Sliced breads,No information available,No information available,2.5,75.2
4151,6416211000441,Ullan Palaruis,Ullan-pakari,300 g,"Cardboard,Paperboard",Origin unknown,"fi:100-kotimainen-ruis,fi:ruisjuureen-leivottu",Finland,Bread,"Cereals and potatoes,Bread",Wholemeal breads,No information available,No information available,2.5,75.2
4152,6416211000496,Kaura Siemen Kakko,Ullan-pakari,370 g,"Cardboard,Paperboard",Origin unknown,"No additives,fi:Hyvää Suomesta",Finland,Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
4153,6416211006078,Täysjyvä Ruis-Iisakki,Pirjon-pakari,380 g,"Plastic,Cardboard,Paperboard",Origin unknown,"Source of fibre,High fibres,No additives,No lactose,No milk,Vitamin D source,fi:Hyvää Suomesta",Finland,Bread,"Cereals and potatoes,Bread",Wholemeal breads,No information available,No information available,2.5,75.2
4154,6416345004476,Görans Kebabkastike,Gorans,400 ml,Plastic,Origin unknown,"No gluten,No lactose",Finland,Dressings and sauces,"Fats and sauces,Dressings and sauces",Groceries,No information available,No information available,4.607,54.1
4155,6416453014336,Karl Fazer Vihreitä kuulia,Fazer,200g,"Metal,Paper,Recyclable Metals,Aluminium",Origin unknown,EAC,Finland,Chocolate products,"Sugary snacks,Chocolate products",Milk chocolate bar,No information available,No information available,2.95,70.7
