,Barcode,Product name,Brand,Quantity,Packaging material,Origin,Label,Sale countries,Product group,Food group,Product main category,Environmental score,Environmental score grade,Carbon footprint 1kg,Sustainable footprint score
0,16229916411,"Foco, 100% pure coconut water with mango","Foco,Thai-agri-foods-co-ltd",500 ml,Packaging unknown,Origin unknown,No information available,"Finland,United States",Unsweetened beverages,"Beverages,Unsweetened beverages",Coconut waters,No information available,No information available,0.55,94.8
1,640295013004,Paprika original Chips,Zweifel,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,World",Appetizers,"Salty snacks,Appetizers",Crisps,No information available,No information available,2.1,79.2
2,644504010013,Toblerone,Brand name unknown,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France,United Kingdom",Chocolate products,"Sugary snacks,Chocolate products",Chocolates,No information available,unknown,2.95,70.7
3,20043032,Easter Egg Mix,Fresh-easy,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,United States",Chocolate products,"Composite foods,One-dish meals",Soups,No information available,No information available,2.95,70.7
4,20246297,Butter Fudge toffee,hatherwood,150 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweets,"Sugary snacks,Sweets",Salted butter caramels,No information available,unknown,2.95,70.7
5,20575557,Medium egg noodles,Combino,250 g,Packaging unknown,Origin unknown,No information available,"Finland,France,United Kingdom",Cereals,"Cereals and potatoes,Cereals",Egg noodles,No information available,unknown,2.65,73.7
6,20683191,Cookie brownie,Mcennedy,8 x 30 g,Packaging unknown,Origin unknown,No information available,"Finland,France,Spain",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Biscuits and cakes,No information available,unknown,2.5,75.2
7,20886561,Sweet liquorice lakritsijäätelö,Lidl,68 g,Packaging unknown,Origin unknown,No information available,"Finland,Norway",Ice cream,"Milk and dairy products,Ice cream",fi:lakritsijäätelöpuikot,No information available,No information available,2.6,74.2
8,2244898002793,AH Vloerbrood meergranen,Albert Heijn,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Netherlands",Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
9,2244899002693,AH Vloerbrood Meergranen HL,Albert Heijn,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Netherlands",Bread,"Cereals and potatoes,Bread",Breads,No information available,No information available,2.5,75.2
10,2396295302997,Biff av Nöt innerfile,Snellman,299 g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Beef,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",Beef,No information available,No information available,43.33,0.0
11,3662317005108,Pate de wasabi,Brand name unknown,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Dressings and sauces,"Fats and sauces,Dressings and sauces",Wasabi pastes,No information available,unknown,4.607,54.1
12,4002971277005,High protein banana & choc topping flavour,Ehrmann,200 g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Protein snacks and drinks,"Milk and dairy products,Dairy desserts",Chocolate desserts,No information available,unknown,2.05,79.8
13,4011800420611,Peanut sweet & salty,Corny,6 x 25 g,Packaging unknown,Origin unknown,No information available,"Denmark,Finland",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Peanut bars,No information available,unknown,2.5,75.2
14,4056489133032,Spaghetti sans gluten,Combino,500 g,Packaging unknown,Origin unknown,No information available,"Belgium,Finland,Germany",Cereals,"Cereals and potatoes,Cereals",Gluten-free pasta,No information available,unknown,2.65,73.7
15,4056489450061,Tagliatelle,Combino,500 g,Packaging unknown,Origin unknown,No information available,"Belgium,Finland",Cereals,"Cereals and potatoes,Cereals",Tagliatelle,No information available,No information available,2.65,73.7
16,4056489532774,Tortilla chips sweet chili,Snack-day,450 g,Packaging unknown,Origin unknown,No information available,"Finland,Netherlands",Appetizers,"Salty snacks,Appetizers",Corn chips,No information available,No information available,2.1,79.2
17,4056489955146,Gyoza,"Lidl,Vitasia",400g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",One-dish meals,"Composite foods,One-dish meals",Japanese ravioli,No information available,unknown,2.95,70.7
18,4100290024758,Caramel Macchiato,Starbucks,750 ml,Packaging unknown,Origin unknown,No information available,"Finland,United Kingdom",Teas and herbal teas and coffee,"Beverages,Sweetened beverages",Cappuccino,No information available,unknown,0.55,94.8
19,4100290035969,White chocolate mocha flavour,"Starbucks,Arla",750 ml,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Milk and yogurt,"Beverages,Sweetened beverages",Dairy drinks,No information available,unknown,0.55,94.8
20,4260283681402,Oat energy bar,oat-king,95 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",fi:hiutale,No information available,unknown,2.5,75.2
21,4712308172216,Pineapple cake,liroy,250g,Packaging unknown,Origin unknown,No information available,"Denmark,Finland,France,Germany,Italy,Japan,Netherlands,Norway,Spain,Sweden",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Cakes,No information available,unknown,2.5,75.2
22,4714221131219,Japanese Style Taro Mochi,bamboo-house,210g,Packaging unknown,Origin unknown,No information available,"Croatia,Czech Republic,Denmark,Finland,France,Germany,Hungary,Italy,Netherlands,Spain,Sweden",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Mochi,No information available,unknown,2.5,75.2
23,4740113034276,Koorene joghurt mustikatega,Farmi,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Estonia,Finland",Yogurt,"Milk and dairy products,Milk and yogurt",Yogurts,No information available,No information available,1.05,89.8
24,4740113034283,Koorene joghurt mustade kirssidega,Farmi,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Estonia,Finland",Yogurt,"Milk and dairy products,Milk and yogurt",Fruit yogurts,No information available,No information available,1.05,89.8
25,4740376022706,Skinka-Ananaspizza,Chef-lunden,420 g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Pizza pies and quiches,"Composite foods,Pizza pies and quiches",Pizzas,No information available,No information available,2.95,70.7
26,4902102149655,Fanta pomme,fanta,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,not-applicable,0.55,94.8
27,5000159556804,Twix White,Twix,46g,Packaging unknown,Origin unknown,No information available,"Finland,Poland",Chocolate products,"Sugary snacks,Biscuits and cakes",Bars,No information available,unknown,2.5,75.2
28,5010265000405,"Ryvita Rug Knekkebrød, 400 g",Jensen-co-as,400 g,Packaging unknown,Origin unknown,No information available,"Finland,Norway",Bread,"Cereals and potatoes,Bread",Rye breads,No information available,No information available,2.5,75.2
29,5034660518471,Cadbury double decker chocolate bar,"Cadbury-s,Cadbury",80 g,Packaging unknown,Origin unknown,No information available,"Finland,United States",Sweets,"Sugary snacks,Sweets",Confectioneries,No information available,No information available,2.95,70.7
30,50357086,Pastillas Fisherman's friend,Fisherman-s-friend,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
31,5060122036849,Snickers shake,Mars,350ml,Packaging unknown,Origin unknown,No information available,"Finland,France",Milk and yogurt,"Beverages,Artificially sweetened beverages",Sweetened beverages,No information available,unknown,0.55,94.8
32,5060221208789,Grenade Chocolate Chip Salted Caramel Flavour,Grenade,60 g,Packaging unknown,Origin unknown,No information available,"Belgium,Finland",Protein snacks and drinks,"Sugary snacks,Biscuits and cakes",Protein bars,No information available,unknown,2.5,75.2
33,5694230257645,Krunchy Keto,Goodgood,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Iceland",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Bodybuilding supplements,No information available,No information available,2.5,75.2
34,5906013002091,Obiadowa sałatka warzywna,Orzech,670 g,Packaging unknown,Origin unknown,No information available,"Finland,Poland",One-dish meals,"Composite foods,One-dish meals",Vegetable salads,No information available,unknown,2.95,70.7
35,5908243701676,Lindor,lindt,100 g,Packaging unknown,Origin unknown,No information available,"Finland,Poland",Sweets,"Sugary snacks,Sweets",Bonbons,No information available,unknown,2.95,70.7
36,6405164000493,Classic medium couscous,lineaverde,500g,Packaging unknown,Origin unknown,No information available,"Finland,France",One-dish meals,"Composite foods,One-dish meals",Prepared couscous,No information available,unknown,2.95,70.7
37,6405320001029,Grillbacon,Oravais,500 g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",Bacon,No information available,No information available,43.33,0.0
38,6407870079817,Suomalainen Pekonikuutio,Atria,140g,Packaging unknown,Origin unknown,No information available,"Finland,France",Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",Sliced bacon,No information available,unknown,43.33,0.0
39,6408432000751,Profeel pudding,Valio,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Andorra,Finland",Protein snacks and drinks,"Milk and dairy products,Dairy desserts",Puddings,No information available,unknown,2.05,79.8
40,6409280000580,Jouluvuoka viipaloitu,Amman-leipa-oy,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
41,6410381092152,Mexican Salsa Nuts,Taffel,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Lithuania",Nuts,"Salty snacks,Nuts",Nuts,No information available,No information available,2.9,71.2
42,6410381092510,Nut cocktail,Taffel,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Nuts,"Salty snacks,Nuts",Nuts,No information available,unknown,2.9,71.2
43,6410405076045,Saaristolaisleipä,Pirkka,500g,Packaging unknown,Origin unknown,No information available,"Finland,France",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
44,6410405108692,Grillost,Pirkka,250 g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Cheese,"Milk and dairy products,Cheese",Cow cheeses,No information available,No information available,12.05,0.0
45,6410405133182,Amerikanska chokladcookies,Brand name unknown,150g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland,Sweden",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Biscuits and cakes,No information available,unknown,2.5,75.2
46,6410405226723,Belgian Chocolate Biscuits,Brand name unknown,100 g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Biscuits,No information available,No information available,2.5,75.2
47,6411401015168,Taloussuklaa,Fazer,200 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Chocolate products",Chocolates,No information available,unknown,2.95,70.7
48,6411401015335,Marianne Crisp,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Bars-covered-with-chocolate,No information available,unknown,2.5,75.2
49,6411401035050,Pantteri Mix,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Belgium,Finland",Sweets,"Sugary snacks,Sweets",Bonbons,No information available,No information available,2.95,70.7
50,6411401035890,Omar,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweets,"Sugary snacks,Sweets",Bonbons,No information available,unknown,2.95,70.7
51,6411401037153,Pax original recipe,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweets,"Sugary snacks,Sweets",Bonbons,No information available,unknown,2.95,70.7
52,6411401037177,Salta katten,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
53,6411401061011,Moomin Mustikka-vadelma lakritsi,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweets,"Sugary snacks,Sweets",Licensed products,No information available,unknown,2.95,70.7
54,6411401062117,Doris,Fazer,250g,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Biscuits,No information available,No information available,2.5,75.2
55,6411401071560,Julia,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Sweets",Chocolate candies,No information available,unknown,2.95,70.7
56,6411401071577,Geisha,Fazer,350g,Packaging unknown,Origin unknown,No information available,"Finland,Latvia",Chocolate products,"Sugary snacks,Chocolate products",Chocolates,No information available,No information available,2.95,70.7
57,6411401071799,Dumle,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Chocolate products",Chocolates,No information available,unknown,2.95,70.7
58,6411401072680,Product name unknown,Fazer,150 g,Packaging unknown,Origin unknown,No information available,"Finland,France,Germany",Chocolate products,"Sugary snacks,Chocolate products",Chocolates,No information available,unknown,2.95,70.7
59,6411402975102,Hapankorppuja,Oululainen,200 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
60,6412500075343,Lakupala Mansikka,panda,250 g,Packaging unknown,Origin unknown,No information available,"Finland,Russia",Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
61,6413467589508,Reales Brot,Fazer,1pcs,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
62,6413600000822,Vichy original,"hartwall,vichy",Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Waters and flavored waters,"Beverages,Unsweetened beverages",Mineral waters,No information available,not-applicable,0.0315,100.0
63,6413600016014,Jaffa sokeriton hartwall,Jaffa,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Light orange soft drinks,No information available,not-applicable,0.55,94.8
64,6413600091134,Novelle plus C+E,Hartwall,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,not-applicable,0.55,94.8
65,6415715910164,Ciabatta esipaistettu,Rainbow,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
66,6416211000359,Kaurasämpylä,Ullan-pakari,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
67,6416453015258,Karl Fazer Tutti Frutti,Fazer,200g,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Chocolate products",Filled chocolates,No information available,unknown,2.95,70.7
68,6416453019195,Karl Fazer karamelli & merisuola,Fazer,37 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Biscuits and cakes",Bars-covered-with-chocolate,No information available,unknown,2.5,75.2
69,6416453036741,Marianne Suklaarakeita,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Switzerland",Sweets,"Sugary snacks,Sweets",Candies,No information available,No information available,2.95,70.7
70,6416453038608,Geisha,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Sweets",Chocolate candies,No information available,unknown,2.95,70.7
71,6416453071148,Blueberry Truffle In Milk Chocolate,fazer-blueberry-truffle-in-milk-chocolate,270g,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Chocolate products",Chocolates,No information available,unknown,2.95,70.7
72,6416453083608,Kismet mini,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Sweets",Chocolate candies,No information available,unknown,2.95,70.7
73,6416884199152,Äppelciderdryck,Spring,1.5 l,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Sweetened beverages,"Beverages,Sweetened beverages",Sweetened beverages,No information available,No information available,0.55,94.8
74,6419811100023,Yosa,Fazer,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Luxembourg",Ice cream,"Milk and dairy products,Ice cream",Plant-based ice cream tubs,No information available,unknown,2.6,74.2
75,6419811100030,Frozen oats Rasberry,Fazer,500ml (400g),Packaging unknown,Origin unknown,No information available,"Finland,France",Ice cream,"Milk and dairy products,Ice cream",Plant-based ice cream tubs,No information available,unknown,2.6,74.2
76,6419811100061,Yosa frozen oats tyrni,Fazer,136ml (109g),Packaging unknown,Origin unknown,No information available,"Finland,France",Ice cream,"Milk and dairy products,Ice cream",Plant-based ice cream tubs,No information available,unknown,2.6,74.2
77,6420256012673,Jenkki Original Xylitol,Cloetta,100g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Sweets,"Sugary snacks,Sweets",Chewing gum,No information available,unknown,2.95,70.7
78,6420256012734,Raspberry-liquorice ksylitolipurukumi,jenkki,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Sweets,"Sugary snacks,Sweets",Sugar-free chewing gum,No information available,No information available,2.95,70.7
79,6420256014073,Mini TV Mix hedelmäinen,Brand name unknown,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Sweets,"Sugary snacks,Sweets",Gummi candies,No information available,No information available,2.95,70.7
80,6420256014714,Tupla Double Layer Caramel,Brand name unknown,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Italy",Chocolate products,"Sugary snacks,Biscuits and cakes",Caramel chocolate bars,No information available,unknown,2.5,75.2
81,6420400007517,The thin & crispy rye nacho cheese,Linkosuo,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Appetizers,"Salty snacks,Appetizers",Crisps,No information available,unknown,2.1,79.2
82,6420616880751,Poronlihaa,riipisen,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Meat,"Fish‚ Meat‚ Eggs,Meat,Meat other than poultry",Reindeer meat,No information available,unknown,43.33,0.0
83,6420900002821,Pommix,halva,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Sweets,"Sugary snacks,Sweets",Liquorice candies,No information available,No information available,2.95,70.7
84,6420900003903,Salmiakkiruutu,halva,250g,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweets,"Sugary snacks,Sweets",Bonbons,No information available,unknown,2.95,70.7
85,6424200044215,Jyväjemmari,Leivon,400g,Packaging unknown,Origin unknown,No information available,"Finland,France",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
86,6425929000445,Mix,Sushi,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Bulgaria,Finland",One-dish meals,"Composite foods,One-dish meals",Sushis,No information available,unknown,2.95,70.7
87,6430032800363,Luomu appelsiinilimonadi,Raikastamo,"0,33l",Packaging unknown,Origin unknown,No information available,"Belgium,Finland",Sweetened beverages,"Beverages,Sweetened beverages",Sodas,No information available,No information available,0.55,94.8
88,6430041609919,Toffel & Salt Mörk Choklad,Brand name unknown,85g,Packaging unknown,Origin unknown,No information available,"Åland Islands,Finland",Chocolate products,"Sugary snacks,Chocolate products",Dark chocolates,No information available,No information available,2.95,70.7
89,6430051519673,Dream,Leader,45g,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Chocolate products",Protein bars,No information available,unknown,2.95,70.7
90,6430056289731,Celsius Peach Vibe,Celsius-live-fit,355ml,Packaging unknown,Origin unknown,No information available,"Finland,France",Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Energy drink without sugar and with artificial sweeteners,No information available,not-applicable,0.55,94.8
91,7310090786627,Mannafrutti metsämarja,Orkla,165 g,Packaging unknown,Origin unknown,No information available,"Finland,Sweden",Dairy desserts,"Milk and dairy products,Dairy desserts",Dairy desserts,No information available,unknown,2.05,79.8
92,7310240171853,Meat lovers superiore,Grandiosa,350 g,Packaging unknown,Origin unknown,No information available,"Estonia,Finland",Pizza pies and quiches,"Composite foods,Pizza pies and quiches",Pizzas,No information available,unknown,2.95,70.7
93,7310861015246,Strawberry vanilla high protein,gainomax,250 ml,Packaging unknown,Origin unknown,No information available,"Finland,United Kingdom",Protein snacks and drinks,"Beverages,Artificially sweetened beverages",Bodybuilding supplements,No information available,unknown,0.55,94.8
94,7310861040859,Protein Bar Blueberry,gainomax,60 g,Packaging unknown,Origin unknown,No information available,"Finland,Sweden",Protein snacks and drinks,"Sugary snacks,Biscuits and cakes",Protein bars,No information available,unknown,2.5,75.2
95,7310861040866,Protein bar raspberry,gainomax,60 g,Packaging unknown,Origin unknown,No information available,"Denmark,Finland",Protein snacks and drinks,"Sugary snacks,Biscuits and cakes",Protein bars,No information available,unknown,2.5,75.2
96,7340011483069,Sriracha hot chili sauce,Coop,455ml,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Dressings and sauces,"Fats and sauces,Dressings and sauces",Sriracha sauces,No information available,unknown,4.607,54.1
97,7340191141438,Tortilla Chips Saat,"X-tra,Coop,S-ryhma",450 g,Packaging unknown,Origin unknown,No information available,"Finland,Norway",Appetizers,"Salty snacks,Appetizers",Corn chips,No information available,No information available,2.1,79.2
98,7340191148789,Tex Mex Chunky Salsa (Hot),"Coop,Greenyard-prepared,Greenyard",300g,Packaging unknown,Origin unknown,No information available,"Finland,Norway",Dressings and sauces,"Fats and sauces,Dressings and sauces",Hot sauces,No information available,unknown,4.607,54.1
99,7340191151161,Root Vegetables,Coop,600g,Packaging unknown,Origin unknown,No information available,"Denmark,Finland",Vegetables,"Fruits and vegetables,Vegetables",Frozen vegetables,No information available,unknown,1.55,84.8
100,7350042710515,Vitamin Well Reload,vitamin-well,500 ml,Packaging unknown,Origin unknown,No information available,"Finland,France",Sweetened beverages,"Beverages,Sweetened beverages",Vitamin waters,No information available,not-applicable,0.55,94.8
101,7350046814127,Mjölk-Bröd,delta-food,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,Sweden",Bread,"Cereals and potatoes,Bread",Breads,No information available,unknown,2.5,75.2
102,7350086160710,Energy drink Boom!,Gsd,25 cl,Packaging unknown,Origin unknown,No information available,"Finland,Sweden",Sweetened beverages,"Beverages,Sweetened beverages",Energy drinks,No information available,not-applicable,0.55,94.8
103,8001620013052,Sitruunatee,san-benedetto,500 ml,Packaging unknown,Origin unknown,No information available,"Finland,France",Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Lemon flavored iced teas,No information available,not-applicable,0.55,94.8
104,8003325000603,Chiarli Lambrusco Grasparossa Di Castelvetro,Chiarli,750ml,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Alcoholic beverages,Alcoholic beverages,Wines,No information available,unknown,0.65,93.8
105,8425644004122,Bimi parsakaali,Bimi,200 g,Packaging unknown,Origin unknown,No information available,"Finland,Spain",Vegetables,"Fruits and vegetables,Vegetables",Broccoli,No information available,No information available,1.55,84.8
106,8435185953711,Dr. Pepper Zero,Dr-pepper,330ml,Packaging unknown,Origin unknown,No information available,"Finland,France",Artificially sweetened beverages,"Beverages,Artificially sweetened beverages",Diet sodas,No information available,not-applicable,0.55,94.8
107,8691707059037,Cake Bite Cherry,Luppo,"7 kpl, 182 g",Packaging unknown,Origin unknown,No information available,"Finland,Germany",Sweets,"Sugary snacks,Sweets",Cakes,No information available,unknown,2.95,70.7
108,8717677336630,Tony,Tony-s-chocolonely,180 g,Packaging unknown,Origin unknown,No information available,"Finland,Italy",Chocolate products,"Sugary snacks,Biscuits and cakes",Chocolate-almond-honey,No information available,unknown,2.5,75.2
109,8717703638578,Glasnudeln,longkou,250g,Packaging unknown,Origin unknown,No information available,"Belgium,Croatia,Czech Republic,Denmark,Finland,France,Germany,Italy,Netherlands,Poland,Spain,Sweden",Cereals,"Cereals and potatoes,Cereals",Cellophane noodles,No information available,unknown,2.65,73.7
110,8720301108718,soba Noodles,ayuko,300g,Packaging unknown,Origin unknown,No information available,"Croatia,Czech Republic,Denmark,Finland,France,Germany,Italy,Netherlands,Poland,Spain,Sweden",Cereals,"Cereals and potatoes,Cereals",Soba,No information available,unknown,2.65,73.7
111,8801043061308,Shrimp flavoured chips,Nongshim,75 g,Packaging unknown,Origin unknown,No information available,"Finland,Guadeloupe",Appetizers,"Salty snacks,Appetizers",Crisps,No information available,No information available,2.1,79.2
112,8801392051210,Seaweed snack sea salt,Bibigo,4g,Packaging unknown,Origin unknown,No information available,"Finland,South Korea",Fish and seafood,"Fish‚ Meat‚ Eggs,Fish and seafood",Seaweed products,No information available,No information available,8.45,15.5
113,8852023008936,Sriracha Chilli Sauce Flavour Coated Green Peas,Brand name unknown,180 g,Packaging unknown,Origin unknown,No information available,"Finland,United Arab Emirates",Dressings and sauces,"Fats and sauces,Dressings and sauces",Groceries,No information available,No information available,4.607,54.1
114,643435040823,Chocolat noir pâtissier,Nestlé,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Chocolate products",Dark chocolates,15.0,e,2.95,70.7
115,643435898646,Nestle dessert noir corse,Nestlé,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France",Chocolate products,"Sugary snacks,Chocolate products",Dark chocolates,15.0,e,2.95,70.7
116,20040895,Parboiled long grain rice,Lidl-golden-sun,1590g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Cereals,"Cereals and potatoes,Cereals",Long grain rices,12.0,f,2.65,73.7
117,20134747,Kuivatulla tomaatilla maustettu kerma-tuorejuustolevite 19%,milbona,200 g,Packaging unknown,Origin unknown,No information available,"Finland,France",Cream cheese,"Salty snacks,Salty and fatty products",Cheese spreads,38.0,d,2.1,79.2
118,20134778,Valkosipulilla maustettu kerma-tuorejuustolevite 19%,milbona,200 g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Cream cheese,"Salty snacks,Salty and fatty products",Cheese spreads,38.0,d,2.1,79.2
119,20134792,Tuorejuusto ruohosipuli,milbona,200 g,Packaging unknown,Origin unknown,No information available,"Finland,Germany",Cream cheese,"Salty snacks,Salty and fatty products",Cheese spreads,37.0,d,2.1,79.2
120,20251031,Ketchup,"Kania,Lidl",1000g,Packaging unknown,Origin unknown,No information available,"Croatia,Finland,Serbia",Dressings and sauces,"Fats and sauces,Dressings and sauces",Ketchup,81.0,a,4.607,54.1
121,20305536,Coleslaw,Lidl,500 g,Packaging unknown,Origin unknown,No information available,"Finland,France",One-dish meals,"Composite foods,One-dish meals",Coleslaw,83.0,a,2.95,70.7
122,20431938,Hummus classic,Chef-select,200g,Packaging unknown,Origin unknown,No information available,"Belgium,Finland,France",Dressings and sauces,"Fats and sauces,Dressings and sauces",Classic hummus,81.0,a,4.607,54.1
123,4000281165500,Eukalyptus Menthol Original Bonbons,Candymex,Quantity unknown,Packaging unknown,Origin unknown,No information available,"Finland,France,New Caledonia",Sweets,"Sugary snacks,Sweets",Candies,42.0,d,2.95,70.7
124,4001724047551,Ristorante Piccolissima Tre Formaggi,Dr. Oetker,216g,Packaging unknown,Origin unknown,No information available,"Czech Republic,Finland,France,Germany,Norway,Romania,Slovakia,Sweden",Pizza pies and quiches,"Composite foods,Pizza pies and quiches",Cheese pizzas,71.0,b,2.95,70.7
125,4056489109594,Ranskankerma 30%,milbona,100 gram,Packaging unknown,Origin unknown,No information available,"Belgium,Finland,Netherlands",Milk and yogurt,"Milk and dairy products,Milk and yogurt",Creams,70.0,b,1.05,89.8
126,4056489268307,9 mini doughnuts with sugar and cinnamon,Lidl,"9x18g, 162 g",Packaging unknown,Origin unknown,No information available,"Finland,Germany,United States",Biscuits and cakes,"Sugary snacks,Biscuits and cakes",Doughnuts,65.0,b,2.5,75.2
127,4056489367611,Coconut milk,Freshona,200ml,Packaging unknown,Origin unknown,No information available,"Belgium,Finland,Germany,Switzerland,United Kingdom",Plant-based milk substitutes,"Beverages,Plant-based milk substitutes",Coconut milks and creams,63.0,b,0.9,91.3
